Gene	Type
uidA,GUSB	writers
bshA	writers
bshB1	writers
pldA	writers
acrA,mexA,adeI,smeD,mtrC,cmeA	writers
acrB,mexB,adeJ,smeE,mtrD,cmeB	writers
emrA	writers
emrB	writers
ureA	writers
ureB	writers
ureC	writers
ureD,ureH	readers
ureE	erasers
ureF	erasers
ureG	erasers
tolC	erasers
baiB	writers
