"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"Dodecanedioic acid","-0.32767486"," 0.20219598","-0.02157542","-0.21268725","-0.67040250","-0.53517379"," 0.97342626","-0.42643195","-0.65785361","-0.68459905","-0.16620330","-0.36770348"," 0.30525038","-0.56381205","-0.70147030","-0.21712706"," 1.18492154"," 1.47409858","-0.57690956","-0.49747331","-0.70070443"," 1.06206541","-0.66372921"," 0.04389377","-0.28971534","-0.52867726"," 1.88116852","-0.54822288","-0.69828531","-0.64603416","-0.33148486"," 0.92606907"," 0.19292949","-0.54537545","-0.33580031","-0.55569549","-0.19533137","-0.53240647"," 0.56616163","-0.40346702","-0.06784151"," 0.53838254"," 2.17127065","-0.35257910"," 0.35422594","-0.60890254","-0.63573781"," 0.46539794","-0.52332674","-0.24660659"," 2.75403794"," 4.96656867","-0.29015409","-0.30076442","-0.68624620","-0.42048681","-0.70121995","-0.46323878","-0.70359834","-0.45933440"
"Gluconic acid"," 1.63838284","-0.20008388","-0.53588175","-0.51134470","-0.54904115"," 0.02136268"," 4.43527400","-0.50775939","-0.52847348","-0.56501330","-0.25698690","-0.03931184","-0.51899411"," 0.08561131","-0.35530813"," 0.19043109"," 0.50551683","-0.13649667"," 2.09274301","-0.46442457","-0.54857435","-0.08262932","-0.50506690","-0.34344604"," 1.56849547","-0.42536163"," 0.30949697","-0.42432529","-0.56438659"," 0.33549546","-0.48163360","-0.11383838","-0.54203428","-0.63511264","-0.46050342","-0.45282099","-0.59788352","-0.16382573","-0.52205128","-0.50187792","-0.34625438","-0.54625640","-0.33575401","-0.46424834","-0.51725394","-0.53179207","-0.43400814","-0.03783641"," 2.78440470","-0.08803356","-0.23823430","-0.52141499"," 3.42905327","-0.51599770","-0.38041713"," 1.04221977"," 0.07920190","-0.49126086","-0.29975250","-0.23468281"
"3-Phenyllactic acid","-0.53051101","-0.39775258","-0.12402924","-0.52514463"," 0.63806582","-0.45535828","-0.36808362","-0.57739548"," 0.15886550","-0.39664758"," 0.17763284","-0.41797086","-0.46845805","-0.30357650"," 2.35579686"," 0.37882837","-0.28299875"," 0.16024421"," 1.31529725","-0.49028362"," 4.71476465"," 0.79930458","-0.43269443","-0.13757692","-0.40667153","-0.49706421","-0.27476204","-0.30694876","-0.55539515","-0.36735290","-0.51081635"," 0.14681329","-0.05574150","-0.50099700","-0.50980794","-0.54585105","-0.21477644","-0.55404232","-0.32427911","-0.34644738","-0.36777646","-0.15500822"," 0.21627636","-0.50888625","-0.24458926","-0.24983977","-0.39814503"," 0.30623867","-0.47130761","-0.44698091"," 0.01689178","-0.43826749"," 0.34572939","-0.56546096","-0.45312158","-0.41250780"," 4.53778881"," 0.10307507"," 0.26592345","-0.04621035"
"Gallic acid","-0.25846688"," 0.05126515","-0.26397215","-0.25922464","-0.26335132","-0.25394851","-0.26372338","-0.26010450","-0.25973846","-0.22952966","-0.26379884","-0.26300544","-0.19942081","-0.15764576"," 0.04369853","-0.26307416","-0.26089467","-0.25767608","-0.26113592","-0.23272288"," 1.82457471","-0.23870884","-0.26171064"," 0.69495477","-0.26426913","-0.26383869","-0.14447991"," 0.79419750","-0.20766130","-0.26217722"," 0.33682775","-0.23416689","-0.25843205","-0.09201966","-0.23377589","-0.26205535"," 1.68117318","-0.26062370","-0.25327517","-0.26338724","-0.21187161","-0.26413903","-0.25714842","-0.11856679","-0.26377581","-0.25201349","-0.25519216","-0.25753564","-0.26359219","-0.26392305","-0.26358117","-0.21180672","-0.26350722","-0.12749441","-0.26388291","-0.25132446","-0.25493505","-0.26056699"," 6.96834899","-0.11816770"
"3,4-Dihydroxyphenylpropionic acid","-0.46354929","-0.41379299","-0.40092665","-0.49476145","-0.32817719","-0.43927669","-0.51846565","-0.54681933","-0.36343505","-0.22603362"," 0.10786369","-0.40114303","-0.36167436"," 0.08002049"," 0.11419884"," 0.54060674","-0.42993947","-0.11136478","-0.18991362","-0.36940893"," 5.33943004"," 1.16348621","-0.47160894"," 2.56958950","-0.41752279","-0.56297733"," 0.11274661","-0.37994643","-0.53722620","-0.39209047","-0.50863971"," 0.02262186","-0.22704854","-0.20541749","-0.33414782","-0.46661572","-0.26024399","-0.50821338","-0.16301819","-0.38428891"," 0.25442792"," 0.11014590","-0.02319751","-0.37588972","-0.24646676","-0.22349696","-0.29300115"," 0.36784841","-0.30564653","-0.53643416","-0.10643949","-0.16820129"," 0.01498029","-0.40737307","-0.44735667","-0.42314306"," 3.80542201","-0.19300613","-0.05842028"," 1.08237228"
"Naringin","-0.07151462","-0.11355683","-0.11775022","-0.12480699","-0.07312006","-0.13705709","-0.11551031","-0.11773567","-0.13880911","-0.13793880","-0.12151210","-0.13356435","-0.13041653","-0.13241735","-0.12933364","-0.13533021","-0.13450140","-0.12957864","-0.13804063","-0.13778317","-0.13512406","-0.12880907","-0.13424545","-0.13256487","-0.13640477","-0.13958851","-0.12294827","-0.13567821","-0.12895685","-0.12567455","-0.13120664","-0.12876184","-0.13141064","-0.12671432","-0.12207304","-0.13700119","-0.13404479","-0.11062063","-0.12805190","-0.13677566","-0.12861406","-0.13306770","-0.12660203","-0.13360562","-0.13703439","-0.13490553","-0.13726381","-0.13385593","-0.13043945","-0.13773035","-0.13151038","-0.13128785","-0.13467213","-0.13675653","-0.13787996","-0.13571765","-0.13489980","-0.13532979"," 7.61627429","-0.12816835"
"D-(-)-Fructose","-0.513544697"," 0.851030581","-0.023914879"," 0.061020045","-1.536529162"," 0.643097129","-0.576252410","-1.359934759"," 0.070372317","-1.114059821"," 1.586636097","-1.345453011"," 0.049322309"," 1.834169974","-0.303548886"," 0.047162522","-0.375035711","-1.381447577"," 0.195942903"," 0.150037174"," 1.217369267"," 0.887987248","-1.375796290","-0.411677987","-0.041334579"," 0.389256662","-0.004234297","-0.721362771","-1.424152326"," 0.938744784"," 0.521964443"," 0.504771878","-1.191185132"," 1.308266883","-0.915725052"," 0.405798542","-0.460722027"," 0.572348000","-0.284503278","-0.819117236"," 1.906363837","-0.967439445","-0.867110166"," 0.010298323"," 0.802786554","-0.025142360","-1.633404530"," 1.779648442"," 0.212001548","-0.262423732","-0.268867776"," 1.420827651"," 3.064392657","-0.364031563","-0.339190443"," 0.773791936","-0.314446729"," 1.058129023","-1.516520292","-0.525429806"
"Sucrose","-0.352902576","-0.370356087","-0.581698899","-0.096856607"," 0.592927627","-0.174190647"," 0.116051503","-0.194750759","-0.629494196","-0.041791896","-0.163251393","-0.398235809","-0.468167818"," 1.345651134","-0.554564809","-0.351202645","-0.341969276","-0.409877580"," 0.078056832","-0.091332092","-0.279951100"," 0.291004352","-0.551861775","-0.350701200"," 0.022602596","-0.236509882","-0.085252265","-0.319823781","-0.373148113","-0.045707834"," 0.177671639"," 0.024348469","-0.271572414"," 0.167094971","-0.386323975","-0.164225905"," 0.315668140","-0.270675707","-0.356640242","-0.420353917"," 0.327643726","-0.563348885","-0.441714802"," 0.089127090"," 0.464513849"," 0.595818540","-0.633433715"," 0.283996924","-0.136067420","-0.467569217"," 6.934712623","-0.013630263"," 0.245090290","-0.350712967","-0.352935965"," 1.449340259","-0.461515127"," 0.005029793","-0.356556300","-0.415474498"
"Citric acid","-0.20238873","-0.16041407","-0.47588512","-0.34498255","-0.47275815","-0.19847398","-0.44750363","-0.52213580","-0.45169945"," 1.14319933","-0.54218739","-0.27750070","-0.36093592","-0.52151510","-0.39732706","-0.17999954","-0.47717812"," 0.47277421"," 1.29463384","-0.05121774"," 1.02740938"," 0.49876541","-0.51636923","-0.52845498"," 5.94365515"," 0.18059272"," 0.31355741"," 2.76760082","-0.29703800","-0.48893871","-0.18401265","-0.32770138","-0.55545452","-0.32349044","-0.47592982","-0.48909282","-0.40137123","-0.47786319","-0.52047201","-0.48223034","-0.31338745","-0.20989630","-0.51298598","-0.49460844","-0.42901480","-0.42908580","-0.43637011","-0.18726471"," 0.54016229"," 0.03625756"," 0.29959555","-0.40447356"," 1.60381565","-0.33818733","-0.52991128"," 0.74544810","-0.04492084","-0.50859494"," 0.54039299","-0.41663647"
"N-Acetylaspartic acid","-0.5690181202"," 4.2984822209","-0.5714980322","-0.3235179811","-0.6660793933"," 3.1837651706","-0.6570884250","-0.5521249917","-0.3159462773","-0.7420662572","-0.7007548042"," 0.7019801734"," 0.2622112211","-0.5003821661","-0.0239455327","-0.7589635245","-0.7524409748","-0.4392372530"," 0.1243165303","-0.0884124458","-0.5052775230","-0.2572254210"," 2.6436970363","-0.0893276302","-0.0006179982","-0.1230787997","-0.1084500902","-0.4964324155","-0.5342577468","-0.4473141090","-0.6608564989"," 0.0905081302","-0.5822644210","-0.4426212258"," 0.4041967984","-0.4008927641","-0.1838389028","-0.3180307262"," 2.2606602396","-0.0625312481"," 0.1119527436","-0.2630740401"," 1.8273922742","-0.3393585535","-0.4156741253","-0.1686410968","-0.7307853167","-0.4204486940"," 0.3649827943","-0.7246473875","-0.0049432875"," 1.8138230900","-0.7360701217"," 0.1055585259","-0.0522444339"," 0.4902931346","-0.6165089056","-0.0008929448","-0.8143515091","-0.5216859675"
"Caffeic acid","-0.22537517","-0.10122457","-0.55476579","-0.56100370","-0.49027769","-0.36565672","-0.56999160","-0.45695078","-0.52764684","-0.29531179","-0.60978916","-0.59425852","-0.45826324"," 0.86163886"," 4.46359670","-0.61987042","-0.21946850","-0.06760647","-0.65470515","-0.36911501"," 0.53814394"," 0.94651367","-0.40146182","-0.51713265","-0.55119025","-0.48654276","-0.47355531","-0.12829593","-0.45960521","-0.38076144","-0.55510444","-0.12771859","-0.41307473","-0.12750354","-0.04130813"," 1.84388484"," 0.58972860"," 1.30026181","-0.44481491","-0.32349094","-0.17183747","-0.60307748","-0.46058428"," 0.71035313","-0.50461259"," 0.30761513","-0.34455175","-0.03371858","-0.57988393","-0.36968889","-0.50317438"," 2.66383854","-0.39283608","-0.52968051","-0.68093022","-0.56284454","-0.20977681"," 3.74441063"," 0.78964600"," 0.36040740"
"2-Isopropylmalic acid","-0.32275462","-0.23708800","-0.46260142","-0.29420997","-0.09002803","-0.31499910","-0.42751256","-0.46309971","-0.37203580","-0.15122537","-0.38541518","-0.39662420","-0.26575741","-0.36248775","-0.41640548"," 0.16088948","-0.31614572"," 0.63529168"," 1.57489647","-0.37515993"," 0.70426122"," 5.24892386","-0.47035845","-0.46132804"," 4.06334766","-0.44853542","-0.17984900","-0.30793622","-0.40613137","-0.41338138"," 0.04272498","-0.23779899","-0.45735092"," 0.49593366","-0.45811925","-0.25867484","-0.41814089"," 0.93091237","-0.35401594","-0.45609900","-0.13532436","-0.39239046","-0.36012411","-0.40180667","-0.43372627","-0.43680813","-0.46856973"," 0.13025131"," 0.13859469"," 2.02289137","-0.26104420","-0.33830939"," 0.28054754","-0.45528685","-0.28598564","-0.14250915","-0.27473425","-0.38760186","-0.39398039","-0.27999489"
"N-Acetyl-D-alloisoleucine","-0.61180198","-0.07788613"," 6.13964533","-0.48870630","-0.19427353","-0.52641048"," 0.26049266","-0.02972743"," 0.54456783","-0.66699326"," 0.46735583","-0.20823208","-0.38351143"," 0.11875027"," 0.90244482","-0.42407161"," 0.05372688","-0.20663221","-0.25098258","-0.56060842","-0.21258714","-0.21630209"," 0.55057621","-0.13140693","-0.56245364","-0.60493069","-0.02842033","-0.44247093","-0.42784786"," 3.29629783","-0.66083617"," 0.31735139","-0.33758758","-0.58907911","-0.34258954","-0.51308998"," 0.76258636","-0.61387761","-0.35656505"," 0.44724874","-0.08977071"," 0.07603787","-0.05040738","-0.53596711","-0.45226140","-0.64215371","-0.08344292","-0.25170678","-0.50631725","-0.46834960"," 0.63469222","-0.14439982","-0.25729853","-0.40753527"," 0.06045907","-0.21868115"," 0.53084178"," 0.23136416","-0.39965067","-0.21661487"
"3-Coumaric acid","-0.1756239685","-0.2289101219","-0.2438276304","-0.1205886759"," 2.2710642927","-0.1227115279","-0.2640438236","-0.4403435430","-0.3458570080","-0.2673181687","-0.3099801662","-0.3560384347","-0.3456531250"," 0.5948783190","-0.1480627036","-0.1838229520","-0.4031191415"," 0.4562183845"," 0.0749978382"," 0.1189165535","-0.4140738095","-0.1027104029"," 6.6649739961"," 0.0590973741"," 0.4086011421","-0.3571768341"," 0.8820535772","-0.0225217594"," 0.0002608102","-0.1169224576","-0.3359885602"," 0.3484198867","-0.3504004680","-0.2392294660","-0.4008098301","-0.3281318110"," 0.0577088931","-0.5293283256","-0.4890540794","-0.3222921264","-0.4619668619","-0.0523376570","-0.4214962363","-0.3319060436"," 0.3352499317","-0.5245727096","-0.3237355316","-0.5087540979","-0.4303670853","-0.3798203850"," 0.0679267058","-0.3552909664","-0.2612112846","-0.5114299961","-0.3846886125","-0.4422223348","-0.3185370939","-0.4157854498"," 0.2114977312"," 1.5367978309"
"Epigallocatechin gallate","-0.21271471","-0.15115641","-0.19865092","-0.16238951","-0.14160967"," 0.29443122","-0.19794185","-0.19334227","-0.21806029","-0.21768880","-0.21824933","-0.20142443","-0.15369788","-0.16276310","-0.16826376","-0.20761627","-0.21442508","-0.14183967","-0.16394295"," 0.05088883"," 0.48336965","-0.18125346","-0.19528289"," 0.15483769","-0.20748547","-0.22303678","-0.15869466"," 7.47061768","-0.15169020","-0.12941190","-0.17058357","-0.18998475","-0.07154769","-0.19477801","-0.08337054","-0.16925412","-0.08455071","-0.22579456","-0.19185045","-0.21578700","-0.16618188","-0.20690612","-0.20122333","-0.16376545","-0.19544495","-0.19535419","-0.23204674","-0.19297821","-0.21173681"," 0.07677494","-0.18031645","-0.16167873","-0.19448329","-0.20551374","-0.21776576","-0.20897545","-0.18092232","-0.19591522"," 1.01936972","-0.06894741"
"D-Saccharic acid","-0.17621786","-0.27036028","-0.15448256","-0.16369543","-0.27485410","-0.25051500","-0.17868897","-0.20345675","-0.24705038","-0.04015838","-0.26302757"," 1.56315056","-0.17018307","-0.27394289","-0.20317492","-0.25713084","-0.06155894","-0.25307289","-0.26423689","-0.10403204","-0.07732036"," 0.04568147","-0.16967633","-0.28101491","-0.19832787","-0.18428443","-0.26090962","-0.05779248","-0.22086717","-0.25555055","-0.05522645","-0.22604100","-0.27920043","-0.22709883","-0.16923950","-0.22643784","-0.26154160","-0.22171497","-0.19387504","-0.27705730","-0.25462851","-0.25412107","-0.21299950","-0.23657326","-0.25431391","-0.24004982","-0.27051677","-0.25729065","-0.26033188"," 1.87110458","-0.23567817","-0.21167682"," 7.07741042","-0.26062881"," 0.37114155"," 0.01388525","-0.22697452","-0.27028903"," 0.42059530","-0.26387994"
"D-(-)-Mannitol","-0.38425481","-0.32321769","-0.37125831","-0.28844572","-0.29022143","-0.34726064","-0.33963985","-0.28491484","-0.39630571","-0.10820930","-0.34482548"," 0.03432028","-0.20381069","-0.04861918"," 0.59025277","-0.33359674","-0.05427658","-0.25867229","-0.37184869","-0.34968079"," 0.17160766"," 0.04141657"," 1.85284020","-0.05217692","-0.36724530","-0.31381505"," 0.36897230"," 0.20117147"," 0.81157162","-0.24289886","-0.19639945","-0.18723880"," 0.71449213","-0.34702633","-0.31309974"," 0.59392568","-0.27856759","-0.20520912","-0.08304409","-0.30418990","-0.32799932","-0.24489222","-0.30971956","-0.35531965","-0.33976636","-0.34800498","-0.27170929","-0.28572000","-0.36644729","-0.25932240","-0.19508228"," 7.02016463","-0.21157325","-0.12787873","-0.38420236","-0.28213772"," 0.49740268"," 0.01055951","-0.36912358","-0.23982862"
"α,α-Trehalose","-0.47398043","-0.40095719","-0.88971720","-0.61237998","-1.12394616"," 0.22646470"," 0.20687153","-0.66712016","-0.86972733","-0.37616537","-0.09201089","-0.64966910","-0.72266292"," 3.44119383","-0.87682713","-0.19323435","-0.15864893","-0.59132454"," 0.60134854"," 0.19384114","-0.13289451"," 1.72176742","-0.97193654","-0.64094912"," 0.36651962","-0.21773419"," 0.02260797","-0.33897954","-0.90283739"," 0.13414018"," 0.67511135","-0.13664234","-1.00342994"," 0.38842958","-0.90856627"," 0.30586916"," 0.48859378"," 0.39679212","-0.55940386","-0.80275560"," 0.52596147","-0.74951452","-0.78501010"," 0.11894309"," 1.49461517"," 0.88281205","-1.19343159"," 1.15728564"," 0.32561084","-0.22782581","-0.84903435"," 1.00613377"," 2.42988627","-0.73399773","-0.06314851"," 3.74841231","-0.53131749"," 0.68465355","-0.46414354","-0.63194047"
"2'-Deoxyuridine","-0.74312564"," 0.49383050","-0.34705180"," 2.38261247","-0.30124558"," 0.10391175","-0.21063818","-0.41995673","-0.31400852","-1.07772630","-0.44863010"," 0.29853213"," 1.80677802"," 1.27031912","-1.19833445","-1.00022735"," 0.12317302","-0.94420897"," 0.06378850","-0.02878094","-1.17091143"," 0.01346677","-0.34522079"," 0.30189574","-0.40986970","-0.25156534","-0.15547325","-0.55295008","-0.83966142","-0.96823317","-0.47970962","-0.53942211"," 0.01917970","-0.06933603"," 0.59739441","-0.26192805","-0.57833260","-1.13992512"," 0.43095240","-0.26669545"," 4.21752903"," 0.49576746"," 1.33386118"," 0.06643621"," 0.72253381"," 1.19468311","-0.80243053"," 0.90329751","-0.50274590","-0.60026865"," 0.38252341"," 0.99566651","-1.14495037","-0.11210003"," 1.57876567","-0.35508491","-1.15314375"," 1.88092013","-1.01634143","-0.92758426"
"1,5-Anhydro-D-glucitol","-0.07425331","-0.52114404","-0.36571654","-0.46228939","-0.02212519"," 0.63470911","-0.41073299","-0.36387040","-0.20226309","-0.24955700","-0.49684311","-0.05712892","-0.44564788","-0.34261454"," 0.97370201","-0.40806592","-0.29557704","-0.32385456","-0.46711728","-0.23249015"," 6.66536186"," 0.60791721"," 0.89691751","-0.49060044","-0.40651284","-0.47768536","-0.15611311","-0.23981943"," 0.21964380","-0.21383268"," 0.24644481","-0.31863723"," 0.05800174","-0.14314040","-0.47236203","-0.01095035","-0.45403015"," 0.41140687"," 0.10364987","-0.46476998","-0.41477471","-0.42193655","-0.36034548","-0.43009329"," 0.14881137","-0.45970443","-0.33938767","-0.32246789","-0.18929491","-0.25119111","-0.35653160"," 2.47447792","-0.15774340","-0.21114487","-0.12468274","-0.01179477","-0.14870176","-0.38875046"," 0.40883724"," 0.32840966"
"Ethyl-β-D-glucuronide","-0.574999970","-0.659104681","-0.732551237","-0.243349489","-0.173311738"," 2.840661288","-0.433241524","-0.299601755","-0.586949707","-0.341627016","-0.238953605","-0.417252112","-0.531111194"," 0.349614732"," 1.511414406","-0.167626148"," 5.970359063","-0.061683632","-0.279233620"," 0.983499851"," 1.667240170"," 0.805536979","-0.475669933","-0.598371465","-0.308841225","-0.286587874","-0.541530060"," 0.248862307","-0.242158945"," 0.446646940"," 0.277140939"," 0.647844420","-0.292673363","-0.283066648","-0.171400704","-0.004136851","-0.284547911","-0.383062278","-0.421621760","-0.484058949","-0.475691397","-0.389192136","-0.483428177","-0.449132397"," 0.560753094","-0.417972047","-0.576584422","-0.115238546","-0.357955738","-0.284736562","-0.121012272","-0.006123217","-0.022599921","-0.518544587","-0.613290878"," 0.259359308","-0.416272284","-0.447022360","-0.142713414","-0.213097748"
"Suberic acid","-0.71102455","-0.35194338","-0.47834051"," 1.97792331"," 4.42534557"," 0.53002665"," 0.02160528","-0.14192095","-0.69396448"," 0.33593928"," 0.32946654"," 0.63634530","-0.40613908","-0.55804411","-0.87558490","-0.67937260"," 1.39167891","-0.13845872","-0.72096078","-0.66537582","-0.83614829"," 0.61125102","-0.42877956","-0.18073015","-0.56946896"," 0.12020519","-0.17905854","-0.51253391"," 0.86000508"," 3.13367593","-0.70397741"," 0.25915982"," 2.50212880","-0.68907143"," 0.49105031","-0.44752736","-0.67951073","-0.80270154"," 0.06134475"," 0.23068623","-0.40006001","-0.77277676"," 0.52630092","-0.59928073","-0.15194271"," 0.78706718"," 0.26713811","-0.46441186","-0.47611700","-0.63987845"," 1.11422824","-0.29820486","-0.38465524","-0.93189306","-0.39374660","-0.66308332","-0.69258796","-0.16334232","-0.86751867","-0.26243513"
"trans-Cinnamic acid","-0.0003856952"," 0.1162485995","-0.3309418707","-0.7115816275","-0.5878320240"," 0.6427969826","-0.3268665749","-0.6363852877","-0.2913814824","-0.6880940004","-0.7271147638","-0.5529231329","-0.4100600155"," 0.2882563519","-0.4725576787","-0.3662941246","-0.4673524398","-0.1586175585","-0.4354781331"," 1.0319802581","-0.3175758216","-0.4572157126","-0.1992340876"," 0.1549422484"," 0.3593164735","-0.7815421321"," 5.8925002464"," 0.3386151730","-0.7074619488","-0.6745683611","-0.6630888304","-0.5839615326","-0.7072982300"," 2.7823722506"," 1.7889980812"," 0.9358325929","-0.1844016682"," 0.2374762652","-0.2393318126","-0.4709357128","-0.0920771630"," 0.1376042577","-0.7020022512"," 0.0491938505","-0.2423723219","-0.6376864211","-0.0588561219","-0.1015878676"," 0.0461483220","-0.1693928134"," 0.5891275172","-0.2605011152"," 0.0853030150"," 0.2708594902","-0.7453577770","-0.2922425942"," 0.8787661439"," 0.3703822954","-0.2655376030","-0.2786241055"
"1,3,7-Trimethyluric acid","-0.44288021","-0.07116744","-0.44126051"," 0.74769245"," 1.95099267","-0.44896886","-0.41968096"," 0.17185363","-0.42107081","-0.13498192","-0.44572706"," 0.07565262"," 1.83251864","-0.29453278","-0.42792907","-0.23240287"," 0.30737241","-0.27780003","-0.23250786","-0.42771858","-0.31852614","-0.42589350","-0.44386918","-0.13870373","-0.44381573","-0.40681537","-0.34569242"," 0.13018328","-0.28993354","-0.43340570","-0.25822208"," 5.01242840"," 2.08233921","-0.44196027"," 0.29991593","-0.44249384"," 0.08178287","-0.44251887"," 0.69882279","-0.44506863","-0.19879361","-0.42499065","-0.37389866"," 3.79157872","-0.38074570","-0.34830998","-0.41947800","-0.41583128","-0.44679305","-0.32391640","-0.33630104","-0.38434599","-0.44408013","-0.42991983","-0.44952167","-0.41459420","-0.44487822","-0.29979600","-0.34972745","-0.30166378"
"Pseudouridine","-0.67867164"," 0.42044404"," 0.59087166"," 0.78641742","-1.18286269","-0.27720247"," 0.97248762"," 0.35495608","-0.21950122","-0.61553964"," 0.84984158"," 1.88981961"," 1.02722892","-0.35003317","-0.44903674","-0.82102003"," 2.53261742","-0.29154263"," 0.22493166","-0.52435950","-1.31344427","-0.04526239","-0.69963419","-0.49115582","-0.67834222","-0.50986500"," 0.08383497","-0.03245911","-0.96250372"," 1.54419684","-0.98974784"," 0.62827612"," 0.16963384"," 0.06040555"," 0.39887019"," 0.00133111","-1.26222202","-1.07248797"," 0.03459439"," 1.31898392"," 0.87732555"," 0.13422298"," 0.98866899","-0.86193756","-0.37659992","-0.04774770","-1.27015634"," 0.32057194","-0.24991758","-0.64809811"," 4.44893975"," 0.40307295"," 0.13437149","-0.59613003","-0.06282717","-0.22935778","-1.09292167","-0.19447325","-1.16809647","-0.93175875"
"Thymidine 5'-monophosphate","-0.36677544","-0.32752252","-0.23979410"," 1.19835457","-0.37304217","-0.37405636","-0.32891207","-0.23937543"," 0.15821289","-0.38482347","-0.26202257"," 0.17411402"," 1.69888447"," 0.23041794"," 0.07222049","-0.38531757","-0.36404037","-0.31194760","-0.37072528","-0.31960375","-0.36821182","-0.38021485","-0.37864915","-0.36755728","-0.37967319"," 6.40477737","-0.38073905"," 1.93496287","-0.38464351"," 0.45071332","-0.38646973","-0.37190563","-0.36424683","-0.31622995","-0.25740207","-0.08819493","-0.37372921","-0.26509586","-0.38159909","-0.36088978","-0.34815103","-0.36711329","-0.32087057"," 1.56120994","-0.37810363"," 0.58516266"," 0.62077390","-0.37977063"," 0.02727037","-0.38285093","-0.37863452","-0.30244321","-0.37526081"," 0.85720438","-0.38420826","-0.38272767","-0.38059627","-0.37902445","-0.38252304","-0.37859026"
"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid","-0.28879565","-0.20778584","-0.19258780","-0.25827995","-0.20669707","-0.23535521","-0.21769017","-0.16594948"," 0.35919277","-0.23439585","-0.26731011","-0.14635307","-0.23712899","-0.09705913","-0.06813929","-0.30908381","-0.02487810"," 0.67962399","-0.32696902","-0.16569143","-0.17856578"," 0.09817503","-0.21085783","-0.18773186","-0.21605186","-0.06398462","-0.14654712","-0.17191167","-0.06390363","-0.10467134","-0.23435725","-0.04649152","-0.17306435","-0.22021869"," 0.24324999"," 0.23420176","-0.08052235"," 7.47045225"," 0.07446911","-0.26638445"," 0.03147537","-0.24301700","-0.21204549","-0.13841115","-0.23480543","-0.05046318","-0.27309853","-0.21872353","-0.27836007","-0.17113926","-0.22169989"," 0.53079107","-0.14337003","-0.34138449","-0.34832359","-0.29874006","-0.24112690","-0.06041464","-0.13392363","-0.09717014"
"3,4,5-trihydroxycyclohex-1-ene-1-carboxylic acid","-0.530165560","-0.515493706","-0.556564474","-0.316509181"," 0.456553731","-0.237855055","-0.509538830","-0.253659256","-0.471110730"," 0.319708846","-0.536120329","-0.458809875","-0.463739379","-0.496058844","-0.174931676","-0.554296750"," 0.965637675"," 4.969257395","-0.520898719","-0.564623951","-0.212024790"," 0.987827191"," 0.067016900","-0.279906495","-0.072857945","-0.459295145","-0.506346106","-0.381656990"," 0.155945379","-0.067616307","-0.411282473"," 1.846484610","-0.382315294","-0.528239962"," 4.282355091","-0.443539988"," 0.381278375","-0.538436674","-0.293893562","-0.464208038"," 0.903860473","-0.434693437","-0.352504125"," 0.583219270"," 0.009323863"," 1.014430192","-0.493773134","-0.474093233","-0.547683691","-0.153885070","-0.284772603","-0.340598378","-0.294265537","-0.546767753","-0.382565005","-0.305434790"," 0.358073883","-0.563230539"," 0.155356797","-0.080066291"
"N-Acetyl-L-phenylalanine"," 0.144598806","-0.565112849","-0.089786838","-0.557462378","-0.045335716","-0.419577064","-0.454178754","-0.604944881","-0.666555686","-0.572053731","-0.612364057","-0.357263920","-0.284199184"," 0.188806724"," 2.368793304","-0.283806279","-0.550266892","-0.267487927"," 1.330693052","-0.645275156"," 4.808371006","-0.237031455","-0.451631177","-0.511994057","-0.514705488","-0.605506606","-0.400102706"," 2.232208881","-0.083128528","-0.557382304","-0.597620694","-0.342236965","-0.316345126"," 0.006295258","-0.195298946"," 1.049767342","-0.553460572"," 0.038832135","-0.502716929","-0.039722721"," 1.093633593","-0.574401225","-0.403680895","-0.645774306","-0.561110976","-0.616318219","-0.584035697","-0.010136045"," 1.500204328"," 2.971406656"," 0.508355166","-0.542710727","-0.537987337","-0.230256068","-0.294885392","-0.265063264"," 0.562352054","-0.559964122","-0.162705997"," 0.069267547"
