"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"2-Hydroxy-6-Aminopurine"," 1.00683118","-0.64740101","-0.95060693","-0.49208833","-0.91923699","-0.71746843","-0.46702831"," 0.13661197","-0.73229847","-0.62831010","-0.62560297","-0.40589038","-0.37639137"," 3.12685506","-0.77869804","-0.56319257","-0.34869464","-0.93206962"," 1.49921170"," 2.96766774","-0.72600979","-0.62369215","-0.88704333","-0.88674613"," 1.77716067","-0.17046434"," 0.41561329","-0.42398447","-0.92128723","-0.78966002","-0.48090466","-0.79784812","-0.61056682"," 1.59360929","-0.58677028","-0.18461449"," 0.97931291","-0.11049315","-0.64899366","-0.06244810","-0.41488417"," 0.08757699","-0.45888548"," 1.25451428","-0.02963663"," 0.58920984","-0.87901872"," 1.47612187","-0.21393967","-0.12522440"," 0.18108340","-0.76953449","-0.54046581"," 0.63790699"," 0.75091625"," 1.95048727","-0.81642278"," 2.33059257"," 0.36436486","-0.38113115"
"Glaucine","-0.26194744","-0.21270467","-0.63888803","-0.22835075","-0.32722833","-0.09019072","-0.40981943"," 6.25056701","-0.29324302","-0.33489194","-0.43173994","-0.41582986","-0.61396846"," 0.38367290","-0.58574792","-0.18198917","-0.26245348","-0.72299236","-0.62180989","-0.37430448","-0.60746246"," 0.54463853"," 0.32325573","-0.20521182"," 2.43242748","-0.59241407","-0.15972342"," 0.40153645","-0.18601909","-0.63829591","-0.26908506","-0.18228710","-0.67835240","-0.03409978"," 0.36743013","-0.22318861"," 0.30470873"," 0.47981682"," 0.64824530"," 0.07867762","-0.05971123","-0.63640172","-0.28290169"," 0.43120376","-0.27313378","-0.24354747"," 0.12324836"," 0.33253488"," 0.01743340","-0.16602546","-0.71035132","-0.01072819"," 2.07695227"," 0.32921844","-0.72824820","-0.71440072","-0.55253738","-0.16949790","-0.14426045","-0.04958268"
"Diethyl maleate","-0.24661242","-0.38818101","-0.41679782","-0.21064601","-0.35077102"," 1.64461446"," 0.24868306","-0.37888085","-0.39150253","-0.30445163","-0.39861295","-0.37634902","-0.37526126","-0.39054132","-0.42622748","-0.37660468","-0.20266158","-0.21132749","-0.45899402"," 0.46036637","-0.26526446","-0.22517540","-0.18116957","-0.38237128","-0.32356780","-0.37325869","-0.38795689","-0.36726025"," 1.08391204"," 0.16408318","-0.38104765","-0.41952021","-0.40564434"," 0.41702780","-0.39945737","-0.38159351","-0.46898134","-0.07936841"," 1.73579004","-0.26660119","-0.01844295","-0.44340040","-0.27142971","-0.47806072","-0.40570533","-0.37496431","-0.42765022","-0.35101733"," 0.03729435","-0.28926514","-0.36449691"," 5.95526583"," 1.36801195"," 2.90222230","-0.26218746","-0.25244074","-0.19571948"," 0.09072649","-0.41879395","-0.34176174"
"α-Lapachone","-0.41904331"," 0.58118057"," 0.59707005"," 1.72227034","-0.80650791"," 0.34722461"," 0.55656146","-0.60771297"," 0.76443709","-0.97416256","-0.35917014","-0.31625707"," 1.54152062"," 0.32834495","-1.13080074","-0.82402770"," 0.49146446","-0.95213680","-0.63867743"," 1.26228439","-1.08017724","-0.17749946","-0.50348697"," 0.04552226"," 0.68819735","-0.16104501","-0.50801932","-0.81442428","-0.98289436","-0.94702399","-0.38240501","-0.66012313","-0.74530984","-0.58681593"," 0.35144945"," 0.27143076","-0.85987942","-0.63599021","-0.15223499","-0.66269943"," 3.43964329"," 0.78658091"," 0.87022752","-0.46330869"," 1.28512399"," 0.22883206","-0.83380617"," 1.06354220","-0.82341124"," 0.12149158"," 0.22705145"," 0.61526465","-0.98046687"," 0.16193927"," 3.67752269","-0.34026357","-1.10485759"," 1.04033192","-0.80269929","-0.82917124"
"6-(4-methoxybenzyl)-3-methyl-5,6,7,8-tetrahydroquinoline","-1.45466368"," 0.22834551","-0.85342556","-0.04932412","-0.76692179"," 0.10169212","-0.14742542"," 2.29126380","-0.76451396"," 1.94703184","-0.28090047"," 0.28567341"," 2.00916692"," 0.87284455","-0.84678645"," 0.52899945"," 0.75308202","-1.03273152"," 0.04304138"," 0.44241108","-0.33201655"," 1.25147134"," 0.52708715","-0.78964844","-0.72961841"," 0.69938563"," 0.05669402","-1.16039673","-0.41338611"," 0.45407351","-1.06739405","-0.02906972","-0.87229126","-0.37097542","-0.04864728","-1.10157264"," 0.87251010","-1.38401590"," 0.64641817"," 2.61484048","-0.86366769","-0.61060766","-0.07429738"," 1.23674969"," 1.10972810"," 1.09390781"," 0.53195874"," 0.22818467"," 0.78529724","-0.97698168"," 0.32470129","-0.15324086","-1.09250269","-0.88913088","-1.13208510"," 0.37769101","-1.56071804"," 1.90039305","-1.48662054","-0.87906609"
"Cyclohexaneacetic acid","-0.169303690","-0.136668832","-0.176217104"," 7.606861463","-0.010197984","-0.155707900","-0.110183430","-0.050881080","-0.126865784","-0.138598069","-0.096873340","-0.111286067","-0.161180909","-0.127460870","-0.172682185","-0.138917408","-0.048693185","-0.172123685","-0.208499682","-0.154988800","-0.152775033","-0.016942437","-0.124371269","-0.143385333","-0.160286940","-0.174267192","-0.152958445","-0.190828413","-0.157818739","-0.007104184","-0.137675411","-0.092888837"," 0.043625400","-0.159451560","-0.117904573","-0.149445983","-0.145053142","-0.129014357","-0.036202987","-0.117829827","-0.127633522","-0.163202801","-0.133009020","-0.165295239","-0.153424323","-0.105399376","-0.113624681","-0.160348756","-0.186632329","-0.181606405","-0.049907977","-0.136973530","-0.132816263","-0.203455939","-0.156839752","-0.068062305","-0.162436716","-0.112418213","-0.183844137","-0.120020915"
"N-(2,3-dihydro-1,4-benzodioxin-6-yl)-4-fluorobenzamide"," 0.110292146"," 0.098758153","-0.470544843"," 0.178246620","-0.035345889"," 0.117445192","-0.274787284"," 0.165100399","-0.271118816","-0.231638291","-0.233830719"," 0.467936679","-0.369381935","-0.275866738","-0.081025040","-0.353904482","-0.388199939"," 7.374951274","-0.304590643","-0.406182873","-0.249541746","-0.142527440"," 0.241320331","-0.373496422","-0.258331667","-0.245319409","-0.177118233","-0.001808501","-0.235589023"," 0.464053895","-0.046594495","-0.198894859"," 0.030282962"," 0.080713050","-0.341735514","-0.382953149","-0.349382649","-0.330885292","-0.084703413","-0.400559319","-0.211762607","-0.389782500"," 0.195266354","-0.333752587","-0.341536983"," 0.009091706"," 0.497313056","-0.251193241"," 0.153172501","-0.495548102","-0.027840158"," 0.309149827","-0.265624478","-0.243874756","-0.159648397"," 0.384604218","-0.240002982","-0.341373785","-0.139806602"," 0.079907440"
"2-chloro-N-[4-(4-methylpiperazino)phenyl]benzamide","-0.58740281","-0.08582328","-1.21802089"," 0.60894987"," 1.29678188","-0.33919459","-0.57517759"," 2.03901839","-0.67576314"," 1.56136793"," 0.39542196","-0.52340719","-0.21835988"," 0.47945546","-0.83743190","-0.70617335","-0.53068369","-0.57698068","-0.58345328"," 0.30866937","-1.16307824"," 0.12554069"," 0.31830401"," 0.48630035"," 3.27416058","-0.96473964","-0.22952801","-0.59259064"," 3.70484112"," 1.25727924"," 0.53665616","-0.15379456"," 0.60541653"," 0.69575412"," 0.34865653"," 0.16040742"," 0.24255960","-1.17308434"," 0.33027647"," 0.29360925"," 0.60956598"," 0.12789923"," 0.36582306"," 0.18931740","-0.17153197"," 0.90890998"," 0.31123239","-0.73128847","-1.29895798","-1.35221899"," 0.81575035","-0.82368080","-1.02318575","-0.14100337","-1.16010507","-0.90460455","-0.97471061","-0.66440620","-0.95005974","-0.46748412"
"ALK"," 0.17253009","-0.14711776","-1.12252338"," 1.14461337","-0.25600575","-0.27729521"," 0.45990181","-0.76230045"," 0.39183523","-0.74385607","-0.70446970","-0.24221473"," 4.45147215"," 2.55196715","-0.96361214","-0.64217876","-0.61354169","-1.01436436","-0.30042794"," 0.74314542","-1.04981861"," 0.22078834"," 1.15816133","-0.06855138","-0.30897018"," 0.81476377"," 1.66082535"," 0.91621906","-0.28995068","-0.53171859","-0.35521611","-0.71825338","-0.53321555"," 0.41010432","-0.16137378"," 0.41483592","-0.02913758"," 0.70539254","-0.29366365"," 0.96158884"," 0.24452139"," 0.36466729","-0.79944578","-0.62730554","-0.08650827"," 2.62995907","-0.84097433"," 0.28540824"," 0.32801158","-0.74330444","-0.85464154","-0.42188553","-0.94204905"," 0.10671197","-0.86621857"," 0.00287577","-1.06136844","-0.31283561","-0.68006748","-0.77391798"
"methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate","-0.18598365","-0.31858780"," 0.40271972","-0.29595581","-0.33554160","-0.34574140","-0.22411443","-0.31112724","-0.34686825","-0.32740531","-0.17738781","-0.33038335"," 0.11965483","-0.31113133","-0.31580692","-0.37881210","-0.35766720","-0.37252921","-0.38050107","-0.37284639"," 6.68057680","-0.35017218","-0.01174825"," 0.22743708","-0.22759533","-0.38822675","-0.33645437","-0.37355601","-0.03363106","-0.28871607","-0.23895618"," 0.12430269","-0.21672945"," 0.27504217","-0.37270591"," 0.82470147","-0.33439669","-0.31705128","-0.08737382","-0.30880874","-0.33783056","-0.39383166","-0.29825505","-0.27862757"," 0.72748525","-0.25926199","-0.34775542"," 1.88072795"," 2.15282492","-0.37354369","-0.31187385","-0.32426764"," 0.05689352"," 0.36464069"," 0.09824931","-0.34308728","-0.06570861","-0.36303417","-0.35687930","-0.30678666"
