Genus,group,A2,Aerococcus,Alcaligenes,Alicycliphilus,Anaerostipes,CAG-873,Candidatus_Saccharimonas,Caproiciproducens,Castellaniella,Catenibacterium,Catenisphaera,CHKCI001,Christensenellaceae_R-7_group,Clostridium_innocuum_group,Coprobacter,Coprococcus,Coriobacteriaceae_UCG-002,Desulfovibrio,Diaphorobacter,Eggerthella,Erysipelatoclostridium,Eubacterium,Eubacterium_brachy_group,Eubacterium_eligens_group,Eubacterium_siraeum_group,Ezakiella,Facklamia,Faecalibaculum,Fusicatenibacter,Gardnerella,Gemella,Haemophilus,Intestinimonas,Jeotgalicoccus,Lachnospiraceae_AC2044_group,Lachnospiraceae_ND3007_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnospiraceae_UCG-010,Lachnospiraceae_XPB1014_group,Marvinbryantia,Megamonas,Morganella,Ochrobactrum,Paraprevotella,Peptoclostridium,Prevotellaceae_UCG-003,Pseudoalteromonas,Psychrobacter,Rikenella,Roseburia,Ruminobacter,Ruminococcus_gnavus_group,Ruminococcus_torques_group,Senegalimassilia,Serratia,Sutterella,Terrisporobacter,Turicibacter,UBA1819,UCG-002,UCG-004,UCG-010,Uruburuella
H26,Health,0,0,0,0,0.431395544,0,0,0,0,0.025129837,0,0,1.1392193,0.008376612,0.427207237,3.044898643,0,0.004188306,0,0.012564919,0,0,0,0.339252806,1.093147931,0,0,0,0.996816887,0,0,0.029318144,0,0,0,0.427207237,0.062824594,0,0.393700787,0,0.083766125,0.104707656,0,0,0.0670129,0,0,0,0,0,1.650192662,0,0.020941531,1.2062322,0.016753225,0,0,0.03350645,0.016753225,0.03350645,1.989445468,0,0.113084269,0
H27,Health,0,0,0,0.004001601,0.724289716,0,0,0,0,0,0,0.016006403,0.136054422,0,0.088035214,0.520208083,0,0.004001601,0,0,0,0,0.008003201,0.116046419,0.020008003,0,0,0,1.616646659,0,0,0,0.008003201,0,0,0.092036815,0.020008003,0.052020808,0.092036815,0.004001601,0.016006403,0.052020808,0,0,0.056022409,0,0.032012805,0,0,0,1.676670668,0,0.100040016,0.860344138,0.108043217,0,0.06002401,0.088035214,0.040016006,0.016006403,0.924369748,0.012004802,0,0
H29,Health,0,0,0,0,0.208518361,0,0,0,0,0.030891609,0,0,0.37456076,0.011584353,0,1.15843534,0,0,0,0.057921767,0,0,0.065644669,0.428621076,0.046337414,0.015445805,0,0,2.988763177,0,0,0.027030158,0,0,0,1.085067768,0.44406688,0.127427887,0.050198865,0,0.046337414,0.250994324,0,0,0.042475962,0,0,0,0,0,2.189442793,0,0.301193188,1.560026258,0.027030158,0,0,1.282001776,0.081090474,0.13515079,1.142989535,0,0.077229023,0
H30,Health,0,0,0,0.008668516,0.840846047,0,0,0,0,0.017337032,0,0.013002774,0.225381415,0,0,0.715152566,0,0.004334258,0,0.026005548,0.004334258,0,0,0.160367545,0.073682386,0,0,0,1.313280166,0,0,0.008668516,0.004334258,0,0.013002774,0.143030513,0.186373093,0.125693481,0.182038835,0,0.039008322,0.017337032,0,0,0,0,0.02167129,0,0,0,5.352808599,0,0.160367545,1.321948682,0.572122053,0,0,0.208044383,0.06501387,0.091019417,0.563453537,0.013002774,0.004334258,0
H31,Health,0,0,0,0,0.110166824,0,0,0,0,0,0,0,0.003934529,0.098363236,0,0.015738118,0,0,0,0.129839471,0.047214353,0.019672647,0.011803588,0.003934529,0,0.019672647,0,0,0.011803588,0,0.007869059,0,0.023607177,0,0.059017941,0.015738118,0,0,0.015738118,0.007869059,0.015738118,0,0,0.003934529,0.035410765,0,0,0,0,0,0,0,0.102297765,0.582310356,0.015738118,0,0.051148883,0,0.023607177,0.094428706,0.082625118,0,0.003934529,0
H34,Health,0,0,0,0,0.765760643,0,0,0,0,0.011372683,0,0,2.043292013,0,0,0.341180484,0,0,0,0.018954471,0,0,0.018954471,0.178172031,0.075817885,0.003790894,0,0,1.243413321,0,0,0.037908943,0.003790894,0,0,0.151635771,0.037908943,0.049281626,0.056863414,0,0.05307252,0.227453656,0,0,0,0,0,0,0,0,0.852951211,0,0.163008454,0.841578528,0.10614504,0,0.022745366,0.109935934,0.034118048,0.05307252,0.576215929,0,0.041699837,0
H37,Health,0,0,0,0,0.533250898,0,0,0,0,0,0,0,0.293674408,0,0,0.285946134,0,0.015456548,0,0.019320685,0,0,0,0.185478573,0.023184822,0,0,0,1.054909386,0,0,0.011592411,0,0,0,0.115924108,0.034777233,0.065690328,0.073418602,0,0.019320685,0.320723366,0,0,0.038641369,0,0,0,0,0,2.971521311,0,0.065690328,0.819197032,0.011592411,0,0.007728274,0.007728274,0.003864137,0.057962054,0.370957147,0,0.181614436,0
H38,Health,0,0,0,0,1.757360238,0,0,0,0,0.037214687,0,0,0.15712868,0,0,0.30598743,0,0.012404896,0,0.024809792,0.008269931,0,0,0.851802845,0.053754548,0,0,0,1.104035726,0,0,0.074429375,0.004134965,0,0,0.14885875,0.037214687,0.169533576,0.115779027,0,0,0.020674826,0,0,0.289447569,0,0,0,0,0,4.085345683,0,0.425901422,0.583030103,0.045484618,0,0.07856434,0.016539861,0.016539861,0.028944757,0.243962951,0,0.041349653,0
H40,Health,0,0,0,0,0.840500391,0,0,0,0,0,0,0,0.633307271,0,0,0.422204848,0,0.003909304,0,0.043002346,0,0,0,2.326035966,0,0,0,0,3.236903831,0,0,0.007818608,0.027365129,0,0.023455825,0.328381548,0.074276779,0.125097733,0.98123534,0.015637217,0.054730258,0.007818608,0,0,0.250195465,0,0.043002346,0,0,0,1.794370602,0,0.152462862,1.090695856,0,0,0.011727912,0.175918686,0.031274433,0.062548866,8.205629398,0,0.672400313,0
H42,Health,0,0,0,0,1.982395714,0,0,0,0,0,0,0.038270188,0.256410256,0,0,0.616150019,0,0.034443169,0,0.019135094,0.015308075,0.003827019,0,0.256410256,0,0,0,0,3.421354765,0,0.007654038,0,0,0,0,0.294680444,0.149253731,0.049751244,0.110983544,0,0.045924225,0.352085725,0,0,0.045924225,0,0,0,0,0,0.826636051,0,0.057405281,0.233448144,0,0,0.141599694,0.065059319,0.072713356,0.007654038,0.237275163,0.019135094,0.034443169,0
H44,Health,0,0,0,0,0.283242153,0,0,0,0,0.050440383,0,0,0.232801769,0.034920265,0,0.112520855,0,0,0,0,0.065960501,0,0,0.104760796,0.023280177,0,0,0,0.671245101,0,0,0.042680324,0,0,0,0.291002212,0.178481356,0.236681799,0.054320413,0,0,0.186241415,0,0,0.027160206,0,0,0,0,0,0.516043922,0,0.322042448,0.415163155,0.023280177,0,0.543204128,0.050440383,0,0.007760059,0.217281651,0,0.058200442,0
H45,Health,0,0,0,0.011956478,0.633693356,0,0,0,0,0,0,0,0.007970986,0.011956478,0.011956478,0.215216612,0,0,0,0.059782392,0.011956478,0,0,0.051811406,0,0,0,0,3.810131123,0,0,0.007970986,0,0,0,0.079709856,0,0.055796899,0.278984496,0,0.02789845,0.263042525,0,0,0,0,0,0,0,0,9.92786258,0,14.81806225,2.012673867,0.007970986,0,0.011956478,0.211231119,0.02789845,0.02789845,0.011956478,0,0,0
H46,Health,0,0,0,0,0.080688542,0,0,0,0,0,0,0,0.038423115,0,0.007684623,0.0999001,0,0,0,0.084530854,0.023053869,0,0,1.394759087,0,0,0,0,0.295857988,0,0,0,0,0,0.019211558,0.034580804,0.015369246,0.073003919,0.084530854,0.007684623,0,0.165219396,0,0,0.019211558,0,0.007684623,0,0,0,0.245907938,0,0.146007838,0.272804119,0,0,0.026896181,0.092215477,0.023053869,0.088373165,0.257434873,0,0.088373165,0
H47,Health,0,0,0,0,0.470673425,0,0,0,0,0,0,0,0.060342747,0.00402285,0.016091399,0.454582026,0,0,0,0.040228498,0.020114249,0,0,0.108616944,0,0,0,0,4.179740928,0,0,0,0,0,0,0.072411296,0,0,0.024137099,0,0,0.273553786,0,0,0,0,0,0,0,0,1.041918095,0,0.245393837,0.329873683,0,0,0.028159949,0.028159949,0,0.060342747,0.100571245,0,0.068388446,0
H48,Health,0,0,0,0,0.226792235,0,0,0,0,0,0,0,0.311358831,0,0.061502979,0.24216798,0,0,0,0,0,0,0,0.084566596,0.088410532,0,0,0,0.365173938,0,0,0.16144532,0,0,0,0.107630213,0.007687872,0.026907553,0.053815107,0,0,0.015375745,0,0,0.03075149,0,0,0,0,0,0.349798193,0,0.026907553,0.115318086,0,0,0.011531809,0.007687872,0,0.003843936,0.203728618,0,0.046127234,0
H49,Health,0,0,0,0,3.691357021,0,0,0,0,0,0,0,1.630213839,0,0,1.443206765,0,0.20733393,0,0,0.016261485,0,0.008130742,0.085372795,0.020326856,0,0,0,3.036832263,0,0.004065371,0.020326856,0,0,0,0.325229693,0.422798602,0.085372795,0.109765022,0,0.060980568,0.032522969,0,0,0.874054801,0,0,0,0,0,2.988047809,0,0.187007074,1.134238556,0.028457598,0,0.048784454,0.028457598,0,0.028457598,0.357752663,0,0.028457598,0
H51,Health,0,0,0,0,0.09461096,0,0,0,0,0,0,0.034059946,0.003784438,0,0.011353315,0.064335453,0,0.003784438,0,0.026491069,0.015137754,0.007568877,0,0.064335453,0.003784438,0,0,0,0.295186194,0,0.049197699,0,0,0,0,0.037844384,0.007568877,0,0,0,0,64.94853164,0,0,0,0,0,0,0,0,0.189221919,0,0.124886467,0.193006358,0.003784438,0,0.003784438,0.011353315,0.011353315,0.011353315,0.049197699,0.003784438,0.011353315,0
H53,Health,0,0,0,0,0.031923384,0,0,0,0,0,0,0,0,0.38707103,0,0.003990423,0,0,0,0.019952115,0.263367917,0.011971269,0,0,0,0,0,0.019952115,0.007980846,0,0.007980846,0,0.003990423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626496409,0.027932961,0.011971269,0,0,0,0,0.07980846,0,0,0,0
D3,Disease,0,0,0,0,0.194723378,0,0,0.007636211,0,0,0.030544844,0,0.187087167,0.022908633,0,0.114543164,0,0,0,0.133633691,0.022908633,0.030544844,0.007636211,0.015272422,0.019090527,0,0,0,0.362720018,0,0,0,0,0,0,0,0,0,0.045817265,0,0,3.249207743,0.030544844,0,0.007636211,0,0,0,0,0,0.068725898,0,1.324882593,0.160360429,0,0,0.007636211,0,0.030544844,0.064907793,0.148906113,0,0.007636211,0
D9,Disease,0,0,0,0,0.773305494,0,0,0.003866527,0,0,0,0,0.06186444,0.007733055,0,2.114990527,0,0,0,0.050264857,0.197192901,0,0.027065692,0.054131385,0.007733055,0,0,0,3.912925801,0,0.007733055,0,0,0,0,0.065730967,0,0,0,0,0.023199165,0,0.189459846,0,0,0,0,0,0,0,1.148358659,0,0.935699648,0.243591231,0,0,0.003866527,0,0.027065692,0.050264857,0.057997912,0,0.011599582,0
D11,Disease,0,0,0,0,1.160724861,0,0,0,0,0,0,0,0.071064787,0,0,0.438232856,0,0,0,0.035532394,0.0631687,0.007896087,0,0.355323937,0,0,0,0,1.748983379,0,0.007896087,0.019740219,0.090805006,0,0,0.150025662,0,0.047376525,0.023688262,0,0.015792175,0.019740219,0,0,0,0,0,0,0,0,9.664811086,0,0.359271981,2.033242528,0,0,0.023688262,0,0,0.086856962,0.292155237,0,0,0
D12,Disease,0,0,0,0,0.15314537,0,0,0,0,0,0,0,0.196340218,0.054975261,0,0.235608262,0,0,0,0.043194848,0.06282887,0.035341239,0,0.066755674,0,0,0,0,2.316814576,0,0.007853609,0.011780413,0.015707217,0,0,0.047121652,0.015707217,0,0.031414435,0,0,0.463362915,0.208120631,0,0.007853609,0.011780413,0,0,0,0,0.149218566,0,0.263095893,2.485667164,0,0,0,0.011780413,0.294510327,0.204193827,0.0903165,0,0,0
D16,Disease,0,0,0,0,0.048966063,0,0,0,0,0,0,0,0.033899582,0.18456439,0,0.030132962,0,0,0,0.395495122,0.312629478,0,0,0,0.011299861,0,0,0,0.783457004,0,0,0,0.00376662,0,0,0.037666202,0,0,0.045199443,0,0,0.060265923,0.011299861,0,0.011299861,0,0,0,0,0,0.064032544,0,0.723191081,0.097932126,0,0,0,0,0,0.064032544,0.018833101,0,0,0
D22,Disease,0,0,0,0,0.043526432,0,0,0,0,0,0,0,1.13960114,0.051440329,0,0.019784742,0,0,0,0.094966762,0.087052865,0.055397278,0,0,0,0,0,0,0.787432732,0,0,0,0,0,0,0.011870845,0,0,0.862614752,0,0,0.047483381,0.478790757,0,0,0,0,0,0,0,0,0,0.375910098,0.182019626,0,0,0,0.027698639,0.015827794,0.803260525,0.126622349,0,0,0
