Genus,group,A2,Aerococcus,Alcaligenes,Alicycliphilus,Anaerostipes,CAG-873,Candidatus_Saccharimonas,Caproiciproducens,Castellaniella,Catenibacterium,Catenisphaera,CHKCI001,Christensenellaceae_R-7_group,Clostridium_innocuum_group,Coprobacter,Coprococcus,Coriobacteriaceae_UCG-002,Desulfovibrio,Diaphorobacter,Eggerthella,Erysipelatoclostridium,Eubacterium,Eubacterium_brachy_group,Eubacterium_eligens_group,Eubacterium_siraeum_group,Ezakiella,Facklamia,Faecalibaculum,Fusicatenibacter,Gardnerella,Gemella,Haemophilus,Intestinimonas,Jeotgalicoccus,Lachnospiraceae_AC2044_group,Lachnospiraceae_ND3007_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnospiraceae_UCG-010,Lachnospiraceae_XPB1014_group,Marvinbryantia,Megamonas,Morganella,Ochrobactrum,Paraprevotella,Peptoclostridium,Prevotellaceae_UCG-003,Pseudoalteromonas,Psychrobacter,Rikenella,Roseburia,Ruminobacter,Ruminococcus_gnavus_group,Ruminococcus_torques_group,Senegalimassilia,Serratia,Sutterella,Terrisporobacter,Turicibacter,UBA1819,UCG-002,UCG-004,UCG-010,Uruburuella
D46,Disease,0,0,0,0,0.126182965,0,0,0,0,0,0,0,0.583596215,0.165615142,0,1.912460568,0,0,0,0.05126183,0.011829653,0,0,0.082807571,0.619085174,0,0,0,0.481072555,0,0.015772871,0,0,0,0,0.244479495,0,0.134069401,0.343059937,0,0.078864353,0.035488959,0,0,0,0,0,0,0,0,1.644321767,0,0.201104101,1.19873817,0,0,0,0,0,0.16955836,0.465299685,0,0.031545741,0
D48,Disease,0.007817386,0.035178236,0,0,0.398686679,0.015634772,0.152439024,0,1.860537836,0,0.011726079,0,0.222795497,0.046904315,0,0.351782364,0.039086929,0.027360851,0.06644778,0.023452158,0.06644778,0.003908693,0.22670419,0.074265166,0.003908693,0,0.011726079,0.531582239,0.637116948,0.085991245,0.007817386,0.214978111,0.078173859,0.035178236,0,0.06644778,0.015634772,0,0.031269543,0,0,0.035178236,0.125078174,0,0.062539087,0,0,0.058630394,0,0.027360851,0.340056285,0.203252033,0.222795497,0.566760475,0,0,0.011726079,0.023452158,0.175891182,0.144621639,0.418230144,0,0.007817386,0.003908693
D51,Disease,0.042582184,0.004258218,0,0,0.396014308,0.008516437,0.093680804,0,0.042582184,0,0.008516437,0,0.123488332,0.029807529,0,0.306591722,0.029807529,0.068131494,0.012774655,0.055356839,0.034065747,0,0.059615057,0.05109862,0.008516437,0,0.012774655,0.140521206,0.821836144,0.072389712,0,0,0.05109862,0.004258218,0,0.046840402,0,0,0.029807529,0,0.021291092,0.021291092,2.576222109,0,0.012774655,0,0,0.076647931,0.021291092,0.029807529,0.46840402,0.327882814,0.417305399,0.992164878,0.004258218,0.008516437,0,0.012774655,0.106455459,0.093680804,0.276784193,0,0.008516437,0.029807529
D54,Disease,0.012057878,0,0,0,0.614951768,0.012057878,0.204983923,0,0.01607717,0,0.008038585,0,0.156752412,0.020096463,0,0.333601286,0.249196141,0.196945338,0.004019293,0.052250804,0.032154341,0.008038585,0.01607717,0.096463023,0.020096463,0,0,0.554662379,1.097266881,0.09244373,0,0.01607717,0.048231511,0,0,0.032154341,0.012057878,0,0.01607717,0,0.032154341,0.020096463,0,0,0.076366559,0,0,0.048231511,0,0.084405145,0.454180064,0.124598071,0.221061093,0.651125402,0.012057878,0.008038585,0,0.028135048,0.168810289,0.048231511,0.426045016,0,0.040192926,0.012057878
D55,Disease,0.048459395,0.020191415,0,0,0.137301619,0.044421112,1.373016194,0,0,0,0.008076566,0,0.032306263,0.008076566,0,0.076727376,6.117998627,0.306909502,0,0.012114849,0.040382829,0,0.040382829,0.012114849,0,0,0.064612527,2.810644914,0.181722731,0.250373541,0.040382829,0,0.181722731,0.012114849,0,0.040382829,0,0.012114849,0,0,0,0.040382829,0,0,0,0,0,0.044421112,0.024229698,0.100957073,0.040382829,0.379598595,0.084803941,0,0,0,0.004038283,0,0.561321326,0.024229698,0.246335258,0,0.076727376,0
D57,Disease,0.073346644,0.122244407,0,0,0.990179699,0,0.912758241,0,0.004074814,0,0,0,0.008149627,0.044822949,0,0.289311764,5.211686565,0.293386578,0.004074814,0.05704739,0.150768102,0,0.040748136,0,0,0,0.028523695,4.209282425,1.312089972,0,0.044822949,0.004074814,0.17114217,0,0,0.27301251,0,0,0,0,0,0,0,0,0,0,0,0.040748136,0.020374068,0.191516238,0.358583595,0,0.366733222,0,0,0,0,0,0.427855426,0.061122204,0.012224441,0,0.044822949,0.004074814
D58,Disease,0,0,0,0,0.261230782,0,0,0,0,0,0,0,0,0,0,0.27836067,0,0,0,0.021412359,0.008564944,0.021412359,0,0.179863817,0,0,0,0,0.925013918,0,0,0,0,0,0,0.137039099,0.012847416,0.029977303,0.008564944,0,0,0,0,0,0,0,0,0,0.012847416,0,0.214123592,0,0.389704938,0.111344268,0,0,0.004282472,0,0,0.008564944,0.042824718,0,0,0
D59,Disease,0,0,0,0,0.522367543,0,0,0,0,0,0,0,0.090334237,0.003927576,0,0.208161502,0,0,0,0,0.023565453,0,0,1.256824162,0,0,0,0,0.962255999,0,0,0,0,0,0,0.706963591,0.098189388,0.019637878,0.086406661,0,0,0,0,0,0,0,0,0,0,0,0.471309061,0,0.043203331,0.015710302,0,0.003927576,0,0,0,0,0.058913633,0,0,0
D60,Disease,0,0,0,0,0.601888425,0,0,0,0,0,0,0,0,0,0,0.048903435,0,0,0,0.015047211,0.007523605,0,0,0.285897002,0,0,0,0,0.680886281,0,0,0,0,0,0,0.116615882,0.063950645,0.398751082,0,0,0,0,0,0,0,0,0,0,0,0,0.376180266,0,0.176804725,0.349847647,0,0,0,0.018809013,0,0,0,0,0,0
D61,Disease,0,0,0,0,0.452578506,0,0,0,0,0,0,0,0.007939974,0.023819921,0,0.099249672,0,0,0,0.023819921,0.011909961,0,0,0.46051848,0,0,0,0.019849934,1.131446266,0,0,0,0.019849934,0,0,0.341418873,0,0.055579817,0.027789908,0,0,0,0,0,0,0,0,0,0,0,1.230695939,0,0.131009568,0.123069594,0,0,0,0,0.071459764,0.023819921,0.123069594,0,0,0
D63,Disease,0,0,0,0,0.595898004,0,0,0,0,0,0,0,0,0.013858093,0,0.314116778,0,0,0,0.036954915,0.018477458,0,0,0.143200296,0,0,0,0.046193644,1.935513673,0,0,0.300258684,0.032335551,0.009238729,0,0.36954915,0.203252033,0.124722838,0.023096822,0,0,0,0,0,0,0,0,0,0,0,1.750739098,0,0.207871397,1.358093126,0,0,0,0,0.055432373,0.050813008,0.351071693,0,0,0
D64,Disease,0,0,0,0,0.292062991,0,0,0,0,0,0,0,0.02762758,0.011840392,0,0.485456052,0,0,0,0.035521175,0.003946797,0,0,0.019733986,0,0,0,0,1.302443067,0,0,0,0,0,0,0.039467972,0,0.082882741,0.015787189,0,0,0,0,0,0,0,0,0,0,0,2.999565852,0,0.564391996,1.03406086,0,0,0.023680783,0,0.078935943,0.039467972,0.059201958,0,0,0
D65,Disease,0,0,0,0,0.232082448,0,0,0,0,0,0,0,0,0.503500905,0,0.011800802,0,0,0,0.346156872,0.664778538,0,0,0.015734403,0,0,0,0.023601605,0.216348045,0,0,0,0.027535206,0.007867202,0,0.051136811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173078436,0,6.360632523,0.110140823,0,0,0,0,0.051136811,0.271418456,0.035402407,0,0,0
D66,Disease,0,0,0,0,1.139448787,0,0,0,0,0,0,0,0.131633073,0.037021802,0,0.061703003,0,0,0,0.053475936,0.020567668,0,0.008227067,0.020567668,0,0,0,0.012340601,0.732208968,0,0,0,0.374331551,0.024681201,0,0.086384204,0,0,0.057589469,0,0.012340601,0,0,0,0,0,0,0,0,0,0.386672151,0,0.160427807,0.172768408,0,0,0,0,0.061703003,0.061703003,0.703414233,0,0.065816536,0
