Species,H1,H3,H5,H9,H10,H11,H14,H15,H17,H18,H19,H20,H21,H22,H24,H25,H26,H29,H31,H32,H33,H35,H37,H38,H39,H40,H41,H42,H44,H46,D1,D4,D5,D6,D8,D12,D13,D15,D16,D18,D19,D21,D27,D28,D29,D30,D32,D34,D36,D39,D40,D42,D43,D44,D45,D46,D48,D49,D50,D51
Eubacterium sp. CAG:248,0.005379813,0.003431725,0.001309329,0.004933008,0.064905152,0.017332003,0.012891527,0.082069764,0.548667423,0.040229005,0.02106092,0.03175045,0.014940221,0.422200651,0.115483755,0.009733419,0.001191997,0.002698539,0.01060637,0.025153668,0.048375014,0.430356292,0.003468619,0.002538833,0.026343467,5.83E-05,0.041514112,0.856774195,4.40E-06,0.000130876,0.000195079,0.007521043,0.010286591,0.012854091,0.004836261,0.002664189,0.008914583,0.002742188,0.001852091,0.000988631,0.002772821,0.044099065,0.008154263,1.938411824,0.000343435,0.00050729,0.009151343,0.013469354,0.000558364,0.021926957,0,0.003661958,0.011107396,0.003113436,0.060393144,0.01836371,0.038652476,0.019409603,0.000423285,0.010541564
Eubacterium sp. 38_16,0.131446611,0.009813198,0.032945432,0.026717112,0.032975582,0.005788349,0.009936102,0.005259445,0.019970799,0.168212809,0.014093504,0.020365122,0.019915683,0.010772152,0.116112574,0.012558144,0.003829339,0.024133671,0.008776149,0.030981754,0.010425003,0.027520908,0.004944414,0.009801937,6.71E-06,0.295642673,0.000197925,0.014902857,2.13E-05,0,0.002549437,0.019363234,0.012737349,0.022809366,2.89E-05,3.38E-05,0.006371683,0.002659317,0.000358549,0.088196334,0.296358651,0.0144566,0.083605826,0.020264335,3.72E-05,0.002780196,0.005403013,0.002540896,0.005809174,0.011868298,0.000434081,0.007273575,0.000695791,0.000623357,0.008828267,0.004934715,0.007850253,0.003288178,0.002777875,0.007513521
Lactobacillus rogosae,0.005617391,0.008548251,0.002487127,0.023373978,0.006830108,0.045915077,0.041243729,0.268956722,0.033220305,0.01866331,0.0466125,0.116988735,0.03972543,0.010442108,0.175016834,0.011956275,0.004068145,0.003553488,0.046829053,0.056152471,0.069279864,0.009808204,0.013336046,0.023056013,0.04068143,0.003856858,0.001220501,0.033698204,6.86E-06,0,0.00131417,0.013901434,0.006953008,0.038998786,0.001404796,0.006664923,0.005406333,0.012053885,0.001259339,0.004640603,0.019400717,0.024785845,0.033587068,0.067322173,0.000733041,0.000563629,0.018922154,0.04846918,0.003508018,0.005118886,0,0.005267774,0.002681461,0.002477409,0.008452353,0.013198822,0.00828319,0.075590682,0.000105558,0.002859043
Citrobacter koseri,0.003078695,0.000922394,0.008749857,0.005027587,0.001770982,0.01979575,0.000218359,3.55E-05,0.0001378,0.000287925,0.000107051,0.000149184,0.001523142,0.00485528,0.014889855,0.000654565,0.060268098,0.000295789,0.048169435,0.019427487,0.003412643,8.37E-05,0.000553197,0.010427177,0.000851692,0.023416673,0.043102125,0.001654877,0.013723518,0.066789636,0.01519874,0.003953877,0.001394013,0.000163146,0.112274897,0.008279922,0.063678699,0.002006305,0.092443605,0.025000105,0.013138607,0.00108561,0.001765044,0.013603186,0.037646815,0.12611914,0.000762204,0.070843837,0.162329256,0.008393937,0.052347265,0.0047623,0.000467588,0.069943482,0.064086807,7.29E-05,0.02692999,0.003481704,0.004388955,0.000313806
Eubacterium sp. CAG76_36_125,0.002902676,0.007236842,0.003465253,0.013924435,0.001053553,0.053911703,0.040551489,0.183991892,0.015159208,0.009428284,0.019933339,0.14664411,0.047587763,0.008373688,0.13771451,0.001550514,0.000822047,0.001360783,0.064589869,0.021876043,0.052049047,0.005307588,0.018435505,0.005542741,0.02763219,1.17E-05,0.00034651,0.01051988,6.94E-05,0,5.32E-05,0.001983083,0.005187934,0.102700436,0.000879116,0.002986035,0.00605833,0.002602346,0.001650387,0.001298638,0.003257652,0.000373854,0.021871139,0.08016105,0.002217796,0.001296822,0.002443619,0.036375214,0.001655117,0.001208385,0,0.001979053,0.002662994,0.001777439,0.00425169,0.006862977,0.011784234,0.085658989,0.000142834,0.000353425
Clostridium sp. CAG:81,0.015346432,0.009781813,0.00442333,0.092005304,0.013268149,0.031541086,0.014959947,0.072113169,0.026108862,0.007819525,0.033653701,0.010446356,0.011103389,0.015093152,0.056037554,0.019003885,0.002040343,0.003039435,0.01384293,0.031903842,0.019866646,0.005710497,0.057125287,0.013789643,0.011133106,0.002049345,0.001094676,0.021283802,5.18E-05,0,0.001576025,0.008259706,0.037855649,0.011483868,0.002249093,0.004240171,0.006716799,0.01055119,0.009008607,0.013191244,0.012894732,0.005982549,0.008350115,0.047926159,0.000525438,0.012213438,0.013152734,0.00395943,0.005846982,0.012718865,0,0.008269344,0.006517051,0.001462578,0.008205337,0.023103453,0.00722719,0.008701761,0.001480781,0.002954809
Candidatus Stoquefichus sp. KLE1796,0.019164213,0.00500286,0.004748566,0.012783654,0.003226513,0.000992367,0.002806324,0.017338816,0.001767191,0.01247782,0.002798756,0.001480808,0.005046244,0.003148842,0.006960916,0.007749449,0.033851566,0.002642271,0.001481398,0.001739057,0.008883275,0.001787001,0.000886004,0.018348412,0.000591154,0.012322684,0.000158523,0.003002862,8.16E-06,0.003429135,0.004320703,0.012987716,0.002945534,0.005673361,0.007703108,0.42146529,0.003909525,0.018240815,0.007097217,0.008272898,0.010676053,0.003082846,0.00409399,0.005933023,0.002160526,0.002622622,0.003146446,0.00533152,0.00587996,0.012978966,8.59E-05,0.012803225,0.00941696,0.008987405,0.004357401,0.004644374,0.008635727,0.082603838,0.012964659,0.013792215
Enterococcus asini,1.40E-05,0,9.50E-05,0,0,0,0,0,0,3.94E-06,0,0,4.32E-05,9.35E-06,0.000218895,0,6.19E-05,0,0,0,0,0,3.40E-05,7.33E-06,0.000646728,0,0.002188328,0.000120878,3.15E-05,0,4.29E-06,9.65E-06,8.69E-06,3.00E-05,0.000577992,5.23E-05,2.81E-06,4.69E-05,2.59E-05,5.15E-05,0.003304045,3.83E-06,0,0,0.000566395,0,3.69E-05,0.000105029,1.37E-05,0,0.882196487,0.000394355,0,7.92E-05,0,0,3.42E-06,2.52E-05,0.01136332,0.000114589
Shigella sp. SF-2015,0.002194854,9.42E-05,0.007826049,0.00199297,0.001031613,0.018051876,0,6.35E-05,0.000128069,0.000146578,0,0,0.000457924,0.00125076,0.013402589,0.000466059,0.032806073,0.000122077,0.045031046,0.000592305,0.001994736,7.14E-05,0.000138127,0.004202403,0.000712838,0.014835022,0.021660601,0,0.009125184,0.077315192,0.008942342,0.002290297,0.002006543,6.33E-05,0.049533963,0.005357504,0.05425221,0.000293509,0.026469295,0.015380056,0.001018428,0.000642383,0.000792392,0.004542861,0.024029479,0.074118587,0.000368067,0.062327357,0.131768686,0.006263001,0.046608984,0.00224334,0.000101399,0.065676892,0.054139057,2.08E-05,0.001098359,0.001994949,0.002305236,0.000192852
Clostridium aminophilum,0.007300488,0.018053523,0.010842236,0.030941905,0.012669736,0.0125949,0.037651778,0.031090182,0.031097172,0.017744047,0.017832709,0.038611722,0.021941004,0.012234662,0.020379497,0.01557756,0.010491621,0.022827495,0.008654585,0.024646667,0.020743616,0.0187602,0.027212807,0.016560043,0.004154069,0.011347463,0.000741379,0.026612384,5.27E-05,0,0.011050856,0.024267565,0.017190581,0.018424011,0.004359856,0.005040298,0.010815608,0.012243847,0.004050173,0.004480609,0.013477402,0.016783956,0.019725078,0.017569174,0.00026447,0.007981776,0.013410532,0.009099408,0.005116112,0.02272297,0.003354349,0.0162009,0.038768953,0.01001881,0.009672369,0.00971336,0.023247888,0.007664821,0.005894823,0.007050707
Enterococcus avium,0,0,0,0,6.31E-06,0,0,0,0,8.61E-06,0,0,0,0,0.001777884,0,0,0,0,6.23E-06,0,0,0.026623177,4.51E-06,0.000505835,2.99E-05,0.002482021,0.005899495,9.27E-06,0.019726367,0.000109406,9.36E-06,3.18E-05,0,0.022167066,0.000144162,0.000116182,0,0.000210827,0.043497416,0.000639519,0,3.50E-06,0,0.368842615,0.000134255,0,8.94E-06,0,0,0.36296059,0.003259898,1.02E-05,0.001631245,0.008825033,0,0,2.62E-05,0.001204922,0
Lachnospiraceae bacterium 10-1,0.002424963,0.019988264,0.009104745,0.034701671,0.015777156,0.024266395,0.024380525,0.028634311,0.034552818,0.020316344,0.016327101,0.009542298,0.077946703,0.005307235,0.023594025,0.019277379,0.007977214,0.009405589,0.007405958,0.015908351,0.010228714,0.016407148,0.004407606,0.025102173,0.010446862,0.008332329,0.00072417,0.018968833,0.000287555,0.002698314,0.00411294,0.015733184,0.007360849,0.006459713,0.010859487,0.009991203,0.007678678,0.013125271,0.015112073,0.003839752,0.008205117,0.007924997,0.024853863,0.033777009,0.001062149,0.00511136,0.031644548,0.004703858,0.002043568,0.016985694,0,0.007440615,0.018852378,0.004980734,0.005885141,0.011954288,0.018521906,0.004074678,0.004399273,0.010493559
Firmicutes bacterium CAG:24,0.003773702,0.013591567,0.013118603,0.00982455,0.001626807,0.008808479,0.032351648,0.004210478,0.051930049,0.035433564,0.024225422,0.01153589,0.006957506,0.007656855,0.02404556,0.009237281,0.005799035,0.019292497,0.003858192,0.060201615,0.015837579,0.057838099,0.003101891,0.016382787,0.00783545,0.011179925,0.000253033,0.009492575,0.000253462,0,0.000944703,0.002651354,0.013960571,0.063966725,0.002377926,0.002852078,0.031458757,0.012492847,0.001260259,0.000358937,0.004546616,0.01190707,0.010617935,0.024317019,0.000250906,0.000137196,0.007947471,0.078257941,0.001849524,0.013790978,0,0.000188777,0.001278249,0.004380281,0.006466006,0.008870644,0.004129971,0.007613745,0.001171001,0.003295064
Escherichia albertii,0.002878483,7.17E-05,0.004491601,0.002889221,0.000912895,0.00955555,5.96E-05,3.62E-05,6.93E-05,7.92E-05,0,0,0.000175527,0.001076759,0.009960029,0.000219459,0.055426815,0.000228969,0.024306551,0.000539613,0.001618468,4.18E-05,0.000237923,0.004252084,0.000537408,0.023391216,0.022043533,0,0.007702792,0.060942888,0.008473724,0.002661417,0.001409406,0.003255194,0.080747662,0.004744586,0.031318321,0.0001813,0.021579077,0.021115418,0.000499933,0.001434359,0.000936192,0.002619971,0.034024216,0.075156401,0.000287696,0.046668289,0.08323908,0.004547789,0.02938833,0.001843783,0.000319323,0.036018621,0.033489888,2.84E-05,0.000664606,0.001515462,0.003031284,0.000148093
Erysipelatoclostridium ramosum,0.002481478,5.23E-05,0.000310061,8.22E-05,0.000136799,0.000618931,0.000262469,6.62E-05,0.000738148,0.003266521,5.24E-05,5.05E-05,0.000116607,0.000180201,0.002614377,0.000357012,0.001722579,7.20E-05,6.97E-05,0.001489286,0.001612929,0.000388917,0.00564798,0.00012979,0.001583145,0.002808983,5.33E-05,0.000461445,9.74E-05,0.05261,0.015925127,0.045822036,0.000510058,0.000155269,0.094434221,0.012188508,0.008974123,0.003273936,0.000920314,0.030756435,0.000775762,3.63E-05,8.04E-05,0.015858456,0.009101917,0.000467797,3.26E-05,0.00011269,0.002805699,0.000248743,5.52E-05,0.043194225,0.000334822,0.022171923,0.009628036,0.000204015,0.000176358,0.001839867,0.36050929,0.000954347
Roseburia sp. CAG:100,0.00341925,0.010825651,0.001355125,0.00487853,0.001453282,0.015317248,0.005320459,0.013288426,0.016352372,0.01756727,0.005961612,0.003742634,0.082972083,0.003841956,0.014536463,0.008404725,0.001101717,0.124381555,0.009023524,0.009706117,0.01665421,0.013881738,0.007438997,0.011970688,0.002095719,0.004076513,0.002723453,0.071795679,0,0,0.00030158,0.009771994,0.010097648,0.005295722,0.001480583,0.001012627,0.003135557,0.007948236,0.000919257,0.006495941,0.0039965,0.00215318,0.009702597,0.023145794,0.000172306,0.000870637,0.012113924,0.002142906,0.001961969,0.008513946,2.87E-06,0.005831593,0.001566743,0.003485776,0.004232348,0.019529335,0.013245787,0.002645802,0.000528295,0.001307791
Clostridium glycyrrhizinilyticum,0.008976123,0.005358936,0.001034381,0.029299354,0.014510288,0.001285799,0.003417257,0.008279316,0.003569529,0.013060033,0.00195869,0.003003908,0.005558918,0.004343981,0.005908556,0.002540168,0.003903356,0.00122308,0.001902161,0.007247982,0.004821396,0.001642374,0.001818513,0.085458539,0.000865223,0.006272763,8.76E-05,0.003959515,0.000892503,0.002643365,0.028277193,0.00595989,0.005413147,0.003405177,0.030394752,0.002233627,0.003365494,0.003733481,0.00693278,0.079251367,0.02675442,0.009502552,0.003703485,0.010430535,0.002381758,0.022184634,0.004662137,0.001547715,0.025958332,0.008328302,0,0.011351527,0.022887575,0.051986152,0.001047838,0.003521967,0.003786832,0.011402971,0.011439856,0.009168989
