Phylum,Firmicutes,Bacteroidota,Actinobacteriota,Proteobacteria,Others
Health,58.18650081,24.25044903,8.543940477,7.263289665,1.755820025
Disease,50.8839693,20.502702,9.669418473,16.63701726,2.306892969
Bile,19.96366404,14.82565546,4.932031617,48.84832644,11.43032244
Stone,18.14153629,7.816068741,2.498877052,64.06005433,7.483463586
