ASV,Health,Disease,Bile,Stone
ASV141,63.30188679,18.21212121,1.361702128,3.6
ASV143,53.96226415,23.57575758,2.936170213,4.4
ASV144,33.39622642,40.53030303,1.14893617,2.24
ASV145,33.98113208,33.1969697,6.957446809,14.48
ASV147,15.35849057,43.12121212,16.93617021,2
ASV149,37.11320755,32.75757576,3.063829787,3.4
ASV151,39.71698113,34.1969697,3.319148936,1.76
ASV152,28.60377358,34.48484848,8.914893617,2.64
ASV153,46.45283019,30.66666667,1.489361702,2.56
ASV158,30.60377358,35.37878788,3.829787234,2.4
ASV159,64.20754717,4.590909091,0.085106383,0
ASV160,42,30.01515152,0.106382979,0
ASV162,6.679245283,51.31818182,2.021276596,0.12
ASV163,45.33962264,26.22727273,1.382978723,0
ASV166,47.41509434,18.8030303,5.170212766,6.44
ASV168,53.50943396,18.28787879,1.340425532,0.96
ASV169,32.37735849,28.09090909,6.468085106,5.84
ASV170,48.88679245,16.07575758,3.787234043,13.08
ASV173,24.73584906,37.31818182,2.127659574,0
ASV176,21.98113208,31.39393939,0.191489362,13.44
ASV179,11.03773585,38.62121212,8.744680851,9.52
ASV180,37.83018868,24.8030303,2.468085106,4.92
ASV181,38.32075472,20.84848485,1.659574468,0.52
ASV182,26.35849057,32.45454545,0,0.76
ASV184,35,23.48484848,1.021276596,0.88
ASV185,47.47169811,15.16666667,1.787234043,1.6
ASV186,0.547169811,12.36363636,26.06382979,50.64
ASV187,20.43396226,27.8030303,5.957446809,4.72
ASV188,29.56603774,25.3030303,3.085106383,0.56
ASV190,2.773584906,18.54545455,18.93617021,41.96
ASV193,51.33962264,12.65151515,0.553191489,0.32
ASV198,49.32075472,8.787878788,0.765957447,0.8
ASV199,45.16981132,8.439393939,4.978723404,1.56
ASV201,37.22641509,17.36363636,1.680851064,2
ASV202,31,20.07575758,2.29787234,0.2
ASV203,36.52830189,11.16666667,8.404255319,1.6
ASV205,40.37735849,11.78787879,0.553191489,2.76
ASV206,30.75471698,16.33333333,2.340425532,2.44
ASV207,22.30188679,20.45454545,6.319148936,1.56
ASV208,28.05660377,21.13636364,0.340425532,0
ASV209,9.830188679,7.954545455,30.74468085,8.8
ASV212,45.30188679,0.166666667,0,0
ASV213,10.50943396,33.62121212,2.29787234,0
ASV215,45.96226415,5.287878788,0.255319149,0.04
ASV216,7.886792453,30.71212121,3.191489362,9.8
ASV217,36.60377358,14.66666667,0.85106383,0
ASV220,51.54716981,4.03030303,0.765957447,0
ASV222,10.24528302,26.13636364,5.425531915,0.84
ASV223,17.71698113,22,3.638297872,2.64
ASV224,26.8490566,13.22727273,5.191489362,0.44
ASV226,29.1509434,14.90909091,1.319148936,1.2
ASV227,29.37735849,15.27272727,0,0
ASV228,27.03773585,15.45454545,0.106382979,0.48
ASV229,28.20754717,16.89393939,1.723404255,0
ASV230,9.735849057,14.39393939,19.74468085,0.52
ASV231,46.20754717,0.272727273,0,0.4
ASV235,27.28301887,7.833333333,2.446808511,0.68
ASV237,23.52830189,16.66666667,1.106382979,0.64
ASV238,39.73584906,2.181818182,0,4.08
ASV240,1.867924528,0.075757576,34.34042553,24.64
ASV242,21.13207547,18.84848485,0.723404255,0
ASV243,32.60377358,10.93939394,1.234042553,0.4
ASV247,5.547169811,27.51515152,1.85106383,3.76
ASV248,8.056603774,24.78787879,2.255319149,0.8
ASV249,23.69811321,5.666666667,8.787234043,14.2
ASV250,47.45283019,0.181818182,0,0
ASV251,1.188679245,0.287878788,48.34042553,1.92
ASV253,31.64150943,9.227272727,1.191489362,0.52
ASV254,13,26.37878788,0.744680851,0.64
ASV256,27.13207547,10.22727273,2.170212766,5
ASV259,25.45283019,11.42424242,1.531914894,1.16
ASV260,43.33962264,0,0,0
ASV261,27.81132075,11.18181818,0,0
ASV263,12.75471698,12.68181818,10.78723404,5.44
ASV267,9.679245283,25.45454545,2.255319149,1.88
ASV268,26.33962264,2.166666667,5.553191489,14.52
ASV269,30.39622642,9.060606061,1.29787234,0.68
ASV270,22.09433962,15.10606061,0.510638298,4.4
ASV271,15.64150943,19.36363636,1.021276596,1.84
ASV276,25.71698113,9.636363636,1.489361702,1.88
ASV278,13.0754717,21,0.14893617,0.88
